"","X","grp.recording","female.id","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","duty.cycle","note.dur.comb","rest.dur.comb","num.notes","intro.dur","trill.dur"
"354",25048,"SAFL_02_030","SAFL_02","SAFL_02_030.03",3,0.858,236.9,559.9,796.7,0.911,193.8,581.4,775.2,0.965,172.3,602.9,775.2,0.516,215.3,602.9,818.3,0.366,193.8,602.9,796.7,0.272,215.3,602.9,818.3,0.877903835764452,3.25,3.702,65,9.098,6.496
"355",25113,"SAFL_02_030","SAFL_02","SAFL_02_030.04",4,0.737,193.8,559.9,753.7,0.65,129.2,581.4,710.6,0.622,107.7,602.9,710.6,0.5,107.7,602.9,710.6,0.342,107.7,602.9,710.6,0.354,172.3,602.9,775.2,0.72180667433832,2.509,3.476,78,11.575,6.467
"356",25191,"SAFL_02_030","SAFL_02","SAFL_02_030.05",5,0.627,129.2,559.9,689.1,0.859,107.7,581.4,689.1,0.749,107.7,581.4,689.1,0.621,129.2,581.4,710.6,0.424,107.7,602.9,710.6,0.29,150.7,602.9,753.7,0.774823657080846,2.856,3.686,68,9.443,6.803
"357",25259,"SAFL_02_030","SAFL_02","SAFL_02_030.06",6,0.621,150.7,559.9,710.6,0.813,129.2,581.4,710.6,0.778,107.7,602.9,710.6,0.68,129.2,602.9,732.1,0.426,172.3,602.9,775.2,0.601,215.3,602.9,818.3,0.799778761061947,2.892,3.616,62,7.906,6.577
"358",25321,"SAFL_02_030","SAFL_02","SAFL_02_030.07",7,0.621,150.7,559.9,710.6,0.801,107.7,581.4,689.1,0.766,107.7,581.4,689.1,0.586,107.7,602.9,710.6,0.447,150.7,602.9,753.7,0.336,279.9,602.9,882.9,0.7707696582384,2.774,3.599,77,11.173,6.188
"359",25398,"SAFL_02_030","SAFL_02","SAFL_02_030.08",8,0.706,129.2,559.9,689.1,0.795,129.2,581.4,710.6,0.703,129.2,581.4,710.6,0.551,107.7,602.9,710.6,0.36,150.7,602.9,753.7,0.366,150.7,602.9,753.7,0.769768091645711,2.755,3.579,78,12.055,5.753
"360",25476,"SAFL_02_030","SAFL_02","SAFL_02_030.09",9,0.604,129.2,559.9,689.1,0.824,107.7,581.4,689.1,0.76,107.7,581.4,689.1,0.61,107.7,602.9,710.6,0.476,107.7,602.9,710.6,0.372,172.3,602.9,775.2,0.767626886145405,2.798,3.645,77,9.714,7.036
"361",25553,"SAFL_02_030","SAFL_02","SAFL_02_030.10",10,0.696,129.2,559.9,689.1,0.755,172.3,581.4,753.7,0.776,150.7,602.9,753.7,0.499,172.3,602.9,775.2,0.435,150.7,602.9,753.7,0.308,150.7,624.5,775.2,0.769839028523016,2.726,3.541,77,9.706,7.099
"362",25630,"SAFL_02_030","SAFL_02","SAFL_02_030.11",11,0.888,150.7,559.9,710.6,1.009,129.2,581.4,710.6,0.743,172.3,602.9,775.2,0.662,150.7,602.9,753.7,0.372,150.7,602.9,753.7,0.337,236.9,602.9,839.8,0.854112778065183,3.302,3.866,77,10.095,6.925
"363",25707,"SAFL_02_030","SAFL_02","SAFL_02_030.12",12,0.798,193.8,559.9,753.7,0.966,150.7,581.4,732.1,0.737,107.7,602.9,710.6,0.563,107.7,602.9,710.6,0.43,129.2,602.9,732.1,0.371,129.2,602.9,732.1,0.829004329004329,3.064,3.696,82,11.26,6.711
"364",25789,"SAFL_02_030","SAFL_02","SAFL_02_030.13",13,0.837,150.7,538.3,689.1,1.023,129.2,581.4,710.6,0.745,150.7,581.4,732.1,0.592,129.2,581.4,710.6,0.406,172.3,602.9,775.2,0.348,193.8,602.9,796.7,0.842202318229716,3.197,3.796,95,12.86,7.204
"365",25883,"SAFL_02_030","SAFL_02","SAFL_02_030.14",14,0.586,107.7,559.9,667.5,0.838,107.7,581.4,689.1,0.766,129.2,581.4,710.6,0.633,129.2,581.4,710.6,0.482,107.7,602.9,710.6,0.348,107.7,602.9,710.6,0.762149028077754,2.823,3.704,81,11.34,6.798
"366",25964,"SAFL_02_030","SAFL_02","SAFL_02_030.15",15,0.872,150.7,559.9,710.6,0.979,129.2,581.4,710.6,0.743,150.7,581.4,732.1,0.58,107.7,602.9,710.6,0.465,129.2,602.9,732.1,0.337,193.8,602.9,796.7,0.849571734475375,3.174,3.736,79,11.216,6.879
"367",26043,"SAFL_02_030","SAFL_02","SAFL_02_030.16",16,0.912,150.7,559.9,710.6,0.772,172.3,581.4,753.7,0.685,150.7,581.4,732.1,0.581,150.7,581.4,732.1,0.348,150.7,581.4,732.1,0.313,150.7,581.4,732.1,0.790249129386552,2.95,3.733,88,12.87,6.101
"368",26131,"SAFL_02_030","SAFL_02","SAFL_02_030.17",17,0.739,193.8,559.9,753.7,0.743,129.2,581.4,710.6,0.76,129.2,581.4,710.6,0.627,129.2,581.4,710.6,0.401,150.7,581.4,732.1,0.267,150.7,602.9,753.7,0.741726990692865,2.869,3.868,78,11.465,5.898
"369",26209,"SAFL_02_030","SAFL_02","SAFL_02_030.18",18,0.702,129.2,559.9,689.1,0.999,107.7,581.4,689.1,0.903,107.7,581.4,689.1,0.482,107.7,581.4,689.1,0.433,86.1,602.9,689.1,0.302,129.2,602.9,732.1,0.854847645429363,3.086,3.61,58,7.808,7.047
"370",26267,"SAFL_05_037","SAFL_05","SAFL_05_037.01",1,1.267,236.9,624.5,861.3,0.778,258.4,602.9,861.3,0.708,258.4,624.5,882.9,0.528,258.4,624.5,882.9,0.493,236.9,624.5,861.3,0.412,279.9,646,925.9,0.835923566878981,3.281,3.925,100,10.954,6.467
"371",26367,"SAFL_05_037","SAFL_05","SAFL_05_037.02",2,0.975,150.7,646,796.7,0.662,258.4,602.9,861.3,0.845,215.3,624.5,839.8,0.711,258.4,624.5,882.9,0.518,279.9,646,925.9,0.281,236.9,646,882.9,0.82720207253886,3.193,3.86,93,10.76,5.41
"372",26460,"SAFL_05_037","SAFL_05","SAFL_05_037.03",3,0.865,107.7,646,753.7,0.725,193.8,624.5,818.3,0.621,279.9,624.5,904.4,0.538,279.9,624.5,904.4,0.383,323,646,969,0.411,387.6,646,1033.6,0.712545360290306,2.749,3.858,87,10.078,5.486
"373",26547,"SAFL_05_037","SAFL_05","SAFL_05_037.04",4,0.842,172.3,646,818.3,0.865,193.8,602.9,796.7,0.697,236.9,602.9,839.8,0.563,258.4,624.5,882.9,0.459,301.5,624.5,925.9,0.319,301.5,646,947.5,0.769849507005708,2.967,3.854,92,10.28,5.834
"374",26639,"SAFL_05_037","SAFL_05","SAFL_05_037.05",5,0.906,107.7,624.5,732.1,0.836,236.9,602.9,839.8,0.685,344.5,602.9,947.5,0.546,344.5,624.5,969,0.453,409.1,624.5,1033.6,0.366,430.7,646,1076.7,0.777254901960784,2.973,3.825,77,9.706,5.445
"375",26710,"SAFL_05_037","SAFL_05","SAFL_05_037.06",6,0.894,150.7,646,796.7,0.925,301.5,602.9,904.4,0.697,301.5,624.5,925.9,0.569,323,624.5,947.5,0.435,366.1,646,1012.1,0.337,430.7,646,1076.7,0.77923718110634,3.085,3.959,80,9.447,5.561
"376",26790,"SAFL_05_037","SAFL_05","SAFL_05_037.07",7,0.958,129.2,646,775.2,1.117,258.4,602.9,861.3,0.961,236.9,624.5,861.3,0.511,279.9,624.5,904.4,0.412,258.4,646,904.4,0.366,301.5,646,947.5,0.895933316494064,3.547,3.959,82,9.672,6.049
"377",26872,"SAFL_05_037","SAFL_05","SAFL_05_037.08",8,0.929,258.4,624.5,882.9,0.848,279.9,602.9,882.9,0.697,301.5,602.9,904.4,0.557,344.5,624.5,969,0.406,344.5,646,990.5,0.342,344.5,667.5,1012.1,0.774795501022495,3.031,3.912,84,9.456,5.77
"378",26956,"SAFL_05_037","SAFL_05","SAFL_05_037.09",9,0.784,150.7,646,796.7,0.911,193.8,602.9,796.7,0.697,215.3,602.9,818.3,0.528,279.9,624.5,904.4,0.383,344.5,646,990.5,0.29,279.9,646,925.9,0.739614994934144,2.92,3.948,83,9.886,5.602
"379",27039,"SAFL_05_037","SAFL_05","SAFL_05_037.10",10,1.016,150.7,624.5,775.2,0.859,172.3,602.9,775.2,0.673,172.3,602.9,775.2,0.511,150.7,624.5,775.2,0.424,172.3,646,818.3,0.313,215.3,646,861.3,0.784157908228659,3.059,3.901,92,10.613,5.428
"380",27131,"SAFL_05_037","SAFL_05","SAFL_05_037.11",11,0.923,150.7,624.5,775.2,0.894,236.9,602.9,839.8,0.726,258.4,602.9,861.3,0.604,236.9,624.5,861.3,0.447,323,624.5,947.5,0.348,323,646,969,0.770002446782481,3.147,4.087,81,8.905,6.258
"381",27212,"SAFL_05_037","SAFL_05","SAFL_05_037.12",12,0.969,107.7,624.5,732.1,0.865,215.3,581.4,796.7,0.697,236.9,602.9,839.8,0.557,323,602.9,925.9,0.43,366.1,624.5,990.5,0.36,387.6,624.5,1012.1,0.782168186423506,3.088,3.948,81,9.12,5.938
"382",27293,"SAFL_05_037","SAFL_05","SAFL_05_037.13",13,0.975,150.7,624.5,775.2,0.888,193.8,602.9,796.7,0.697,236.9,602.9,839.8,0.557,279.9,624.5,904.4,0.418,344.5,624.5,969,0.331,344.5,646,990.5,0.769249753208292,3.117,4.052,84,9.167,6.031
"383",27377,"SAFL_05_037","SAFL_05","SAFL_05_037.14",14,1.066,301.5,624.5,925.9,0.848,323,602.9,925.9,0.668,366.1,602.9,969,0.505,387.6,624.5,1012.1,0.401,387.6,646,1033.6,0.302,409.1,667.5,1076.7,0.770594108836745,3.087,4.006,82,9.62,5.596
"384",27459,"SAFL_05_037","SAFL_05","SAFL_05_037.15",15,0.952,215.3,624.5,839.8,0.819,301.5,602.9,904.4,0.731,344.5,602.9,947.5,0.522,344.5,624.5,969,0.511,344.5,646,990.5,0.393,366.1,646,1012.1,0.78099173553719,3.024,3.872,87,9.841,5.869
"385",27546,"SAFL_05_037","SAFL_05","SAFL_05_037.16",16,0.848,236.9,624.5,861.3,0.918,258.4,602.9,861.3,0.708,279.9,602.9,882.9,0.58,323,624.5,947.5,0.435,344.5,624.5,969,0.354,344.5,646,990.5,0.760268857356236,3.054,4.017,94,10.664,6.13
"386",27640,"SAFL_05_037","SAFL_05","SAFL_05_037.17",17,0.993,150.7,624.5,775.2,0.905,215.3,602.9,818.3,0.731,258.4,624.5,882.9,0.598,236.9,624.5,861.3,0.459,279.9,624.5,904.4,0.359,323,646,969,0.787457296242069,3.227,4.098,92,10.208,6.316
"387",27732,"SAFL_05_037","SAFL_05","SAFL_05_037.18",18,0.929,193.8,624.5,818.3,0.998,236.9,602.9,839.8,0.824,258.4,602.9,861.3,0.65,279.9,602.9,882.9,0.464,301.5,624.5,925.9,0.377,323,646,969,0.806880189798339,3.401,4.215,85,9.693,6.426
