female.id,delta_80,delta_79,delta_69,delta_68,delta_67,delta_57,delta_58,delta_46,delta_35,delta_56,delta_45,delta_24,delta_47,delta_14,delta_34,delta_23,delta_36,delta_3,delta_1,delta_70,delta_13,delta_81,delta_78,delta_25,delta_12,delta_59,delta_2,delta_17,delta_18,delta_28,delta_75,delta_64,delta_50,delta_39,delta_7,delta_73,mfcc_28,mfcc_54,mfcc_30,delta_51,delta_40,delta_62,delta_29,delta_31,mfcc_33
SAFA_02,-828.2041069,-1162.211082,-831.6253536,-1161.360738,-1358.150532,-1159.105162,-835.2059798,-1226.991935,-1291.164999,-1378.400838,-1451.464442,-1265.927282,-843.1441815,-983.1300078,-1455.803648,-1409.8193,-892.4935841,-992.3713434,-1433.745495,-450.2520572,-1272.601172,-436.5388235,-1313.53008,-931.4028955,-1409.041347,-461.8618988,-1295.114764,220.9340672,259.0326105,242.6484847,-78.17075887,-65.6718236,138.9346767,207.6143359,234.4888036,-4.666802342,-8.76305073,-1.605056572,20.28795219,7.410225512,166.7762938,-10.82888699,233.8754813,-12.69417978,2.940637948
SAFA_02,-879.7281061,-1192.125848,-842.2020129,-1176.608127,-1387.30172,-1218.718473,-855.6836517,-1279.68365,-1323.059301,-1439.465963,-1521.273387,-1345.005937,-883.5315724,-995.6917791,-1508.796419,-1494.255532,-908.4951875,-1016.765428,-1486.520173,-451.0223397,-1310.165657,-429.1629028,-1368.777329,-940.2422621,-1471.216896,-451.4991868,-1340.649648,273.3203064,303.1767358,270.1751505,-58.09261398,-115.4940684,184.6959732,245.6358525,260.2348864,16.5720037,-11.42505903,-1.439324196,11.63526515,42.93259392,169.3072959,13.81672992,239.6185909,-9.537692504,3.487043522
SAFA_02,-886.6430701,-1209.138467,-885.8206669,-1192.553039,-1388.925771,-1242.033778,-899.8692295,-1288.054134,-1342.227352,-1421.308134,-1497.768562,-1306.116122,-903.45073,-1030.229546,-1488.255078,-1469.700524,-938.6865449,-1062.370869,-1551.169382,-487.6457895,-1338.64331,-441.4696839,-1368.479548,-997.6580782,-1497.450928,-477.6153161,-1378.190477,240.60234,307.43346,249.3814567,-12.06491999,-16.23864383,154.5164562,213.7689751,285.1318263,1.331461393,-5.413315826,3.284426773,12.22952243,40.39628292,196.4856388,43.57643396,271.7028688,31.27597109,5.699611233
SAFA_02,-867.9344708,-1190.650221,-868.6060703,-1198.841412,-1399.054216,-1199.543659,-847.4774105,-1261.660879,-1314.577434,-1418.773781,-1491.228634,-1300.57628,-873.7543789,-1005.246266,-1465.654955,-1460.708453,-912.7771206,-1053.299535,-1503.847838,-455.9255278,-1306.828724,-460.8486821,-1358.121715,-963.7893826,-1465.029352,-445.9175191,-1361.466625,200.4678082,260.4968328,233.3392632,-54.53872991,-133.7622225,187.2085542,221.3732095,219.7506243,-2.993616528,-6.832672033,2.855861042,16.53228873,19.29933987,197.0635165,-23.69655282,223.6858638,-23.23729512,0.032135715
SAFA_02,-926.4770354,-1238.83049,-916.2912298,-1253.527234,-1431.718087,-1272.92803,-904.693507,-1293.505298,-1339.006536,-1457.734351,-1496.971396,-1344.878603,-887.6246418,-1027.731662,-1492.938055,-1481.881385,-943.1501252,-1055.726464,-1495.054975,-489.8190363,-1370.588266,-464.8172508,-1393.867892,-1010.205862,-1500.583424,-476.9536748,-1365.745331,229.6309192,271.0515937,248.2842327,-8.239177661,-55.29296155,160.1037706,229.862806,252.6673209,22.42936858,-11.8151644,3.954700464,17.10716026,5.91250629,179.9862073,33.75207418,276.5399504,69.07991126,7.881003038
SAFA_04,-966.5025691,-1303.301239,-966.426515,-1297.254996,-1455.388358,-1299.071091,-978.7328739,-1303.31966,-1352.065747,-1495.563663,-1497.753769,-1320.983001,-989.5927272,-971.8008259,-1539.222706,-1506.640172,-1025.251267,-946.3769295,-1255.754487,-522.7331138,-1197.166796,-554.1099676,-1426.57125,-977.029848,-1343.839723,-541.2129637,-1159.195325,99.39241891,203.7703741,261.9738415,44.43720385,26.86448201,178.6536054,164.590776,106.2891279,62.77541126,-2.1660138,5.612028996,7.439607674,79.35676337,85.90228002,71.63260243,215.0999671,78.18219557,3.5129681
SAFA_04,-946.4085434,-1274.108909,-911.7884897,-1255.090149,-1406.996823,-1249.524869,-927.0154782,-1284.65194,-1289.819062,-1442.138491,-1475.44083,-1307.239207,-960.301207,-944.3438619,-1475.999224,-1470.688693,-974.4384255,-913.8274432,-1207.962955,-511.7019008,-1160.853834,-527.619379,-1382.667447,-947.7824146,-1321.336024,-505.3919493,-1120.248569,128.2485949,196.3982483,222.5719522,31.878474,54.18050093,138.8131788,132.4389216,73.1885277,30.77666802,-5.641463864,1.640361001,3.655754804,53.24768993,54.45276614,44.99820319,153.0574761,71.12101603,2.696176429
SAFA_04,-955.5152617,-1274.075983,-916.6995673,-1250.394528,-1426.380514,-1227.020168,-919.0762641,-1230.729555,-1284.614534,-1435.698705,-1445.210491,-1273.780533,-926.2174651,-932.8705428,-1486.331449,-1455.036997,-966.9279341,-884.3642517,-1186.752619,-497.8679298,-1135.905429,-530.4664142,-1400.405174,-916.4085601,-1297.81374,-482.5126787,-1077.926178,104.3812975,157.1616935,222.2067909,9.860312154,24.77744887,136.7507906,134.4051457,42.92871189,38.83572204,-0.337145333,-2.461873326,8.209360672,43.2494495,53.2356791,39.77515232,147.4945609,31.89516525,2.68827065
SAFA_04,-902.949622,-1221.910662,-907.6540123,-1232.172486,-1426.931972,-1247.724975,-925.6961733,-1281.238392,-1303.624994,-1463.450885,-1489.288644,-1229.647285,-960.5113351,-957.2237759,-1511.840919,-1421.894123,-970.2722118,-932.642288,-1229.774537,-497.254157,-1166.495721,-493.8145398,-1368.739849,-939.1688172,-1308.689545,-502.7469725,-1139.011714,58.70451035,168.7158487,231.5681416,-9.774291596,-25.20348127,140.5055096,158.8604706,65.59776751,12.58822034,4.136326168,-0.700750254,11.91506029,41.18320058,60.56689016,21.13920122,185.2423834,31.43255275,-0.677900588
SAFA_04,-987.2554895,-1317.543866,-960.4426237,-1292.330028,-1458.332897,-1288.80263,-961.6768225,-1319.209521,-1376.136852,-1498.106328,-1548.171726,-1352.539882,-1005.924255,-1010.285758,-1585.139751,-1531.324028,-1039.080313,-966.9225386,-1260.115797,-530.3348642,-1206.33015,-532.6990189,-1449.146694,-998.2278745,-1387.297202,-509.163614,-1180.758055,104.4686023,174.9461741,227.1205479,25.16491085,-14.85243809,133.9573753,152.4130606,59.61188853,21.16596989,-3.407504562,-2.196709309,8.415606288,44.0737951,59.63415739,20.42700099,159.4764068,69.39726085,2.808684048
SAFA_04,-935.3617566,-1254.294519,-964.0443665,-1279.89225,-1468.492922,-1313.071177,-980.5887799,-1307.654786,-1376.265756,-1485.124602,-1507.980499,-1186.022541,-993.3529105,-972.7141698,-1545.963457,-1370.98915,-1028.562644,-898.1410787,-1173.020347,-516.7847325,-1161.936313,-515.2664867,-1376.261671,-968.5129124,-1262.866827,-536.3743358,-1097.851712,-16.2659887,102.595261,207.2351091,109.2792909,45.43463048,142.7440408,159.4893602,49.89132909,79.302791,3.842850544,-0.462166292,11.2051337,73.77101905,106.5661749,47.17293998,253.4478627,136.9427484,5.37295542
SAFA_04,-924.9181793,-1249.508069,-938.0491042,-1272.330042,-1424.99258,-1236.801329,-910.0137732,-1232.402404,-1274.771952,-1443.024951,-1481.093907,-1305.417689,-938.0942387,-976.1749431,-1513.111835,-1513.226887,-974.0857049,-905.7948879,-1231.437689,-504.6457887,-1168.619114,-488.2962272,-1396.318848,-966.2966072,-1359.134291,-504.2974938,-1105.822113,165.7044013,231.7669158,223.790197,85.120744,26.58311945,160.2224943,163.8743375,124.8641754,77.18753349,3.953097501,-0.667317135,6.439307349,73.1498184,92.52776775,67.67208788,151.0896548,46.03543286,2.558510474
