"","X","mean.1","sd.1","mean.2","sd.2","mean.3","sd.3","mean.4","sd.4","mean.5","sd.5","mean.6","sd.6","mean.7","sd.7","mean.8","sd.8","mean.9","sd.9","mean.10","sd.10","mean.11","sd.11","mean.12","sd.12","female.id.test","recording","loc"
"11","SAFB100_01_047.11",74.8628200338151,7.4507071322587,-3.48305319265563,4.92137817299363,-13.4295731804562,10.009235308006,-4.71731306479898,11.7372753492097,-4.34809259062052,9.00275357325967,-3.1280507435356,7.33396534025826,5.30715098358069,7.00367777627117,2.00633454799093,10.1330326487847,4.65811052389198,6.96467466383371,0.953292944189894,7.67417748913269,-1.44130450391722,8.13935245326892,-2.43389919464441,6.95261220374472,"SAFB100_01","SAFB100_01_047","SAFB100"
"12","SAFB100_01_047.12",75.6317035892798,4.83246813852324,-1.70147005010052,4.35151862702088,-11.7470236631531,8.51493467718367,-0.98981907217723,10.4932459596079,-5.00835039811976,7.65702240572821,-3.36254208870048,6.74490437934281,6.06775348835988,5.90318761160592,0.736308718106364,8.79839280065378,3.70662233808775,7.09373151037229,-1.14831804777331,7.59991168123857,-0.157676599345191,7.32781608808618,-0.762249813713121,7.33660552318406,"SAFB100_01","SAFB100_01_047","SAFB100"
"13","SAFB100_01_047.13",74.6972413898074,6.39894472832617,-3.60549482364433,4.77619397418549,-14.5422575614571,9.30257831265003,-3.0628501418833,11.3696105942317,-4.00341435212004,8.32969092947478,-4.27081573550868,6.42810871312745,6.76932161780253,6.745709790394,0.877140738446272,10.4869696543256,6.51376361371479,7.0497643000224,-0.0750543853372582,7.54623888526919,-2.96079964197471,7.08436478961062,-1.15216079886433,7.74720264403942,"SAFB100_01","SAFB100_01_047","SAFB100"
"14","SAFB100_01_047.14",73.6322586756483,7.18735220920247,-2.94680459092568,4.4156998508061,-14.7640073951013,9.83126557482671,-4.20863170246001,11.3632344279329,-4.05661847379256,8.63916795068731,-3.2584235385477,6.40680792043123,5.40329340923837,6.77774419438372,0.0523701446216076,10.5849385312031,4.49379942381438,7.15266920637797,0.155310075823996,7.28833450821996,-1.82177313751654,6.72941520122888,-1.76641534865314,7.32257760185758,"SAFB100_01","SAFB100_01_047","SAFB100"
"15","SAFB100_01_047.15",72.8417147414884,6.84415984040823,-2.77616381545748,4.44248129843121,-14.0284849887703,9.58628542646055,-4.12815789332851,11.8899376959234,-3.91889241112208,8.50272988862904,-3.02176160881384,6.00880894876123,4.83445942377783,7.24884832970626,0.22108498954159,10.3136265082355,5.11253908964009,7.07907590828549,1.14786641562985,7.32469948444223,-2.64744968123711,6.69904290603186,-2.10913593263301,7.16636201740578,"SAFB100_01","SAFB100_01_047","SAFB100"
"16","SAFB100_01_047.16",74.9691846254947,7.2584877482879,-1.16265797673364,3.77106612098045,-15.0130562204883,10.2195613637244,-1.53275632455719,10.9748663616331,-3.64965480419361,8.42326451051489,-3.47319018153814,5.98112100146975,4.52223952881473,7.22119550010444,-0.0258201654915026,9.67735303776431,2.83766812388217,6.12457002332389,1.04096226549881,6.26594254475193,-3.23009004348093,6.87992014060491,-0.425059782879414,6.84187039577735,"SAFB100_01","SAFB100_01_047","SAFB100"
"17","SAFB100_02_004.01",77.9744184806826,4.7186202918897,-2.72419963866552,3.54996755272271,-14.5645464200771,8.63003896641814,-5.92816967241955,8.20949296167128,-4.42648267467488,10.2430693137742,-4.68539237153225,6.73605418329292,3.17557677037404,6.71085052445303,4.32662134418685,8.05463627842817,3.8942074556492,8.50966409958953,4.41296666417538,7.90013532111746,0.143577800545033,6.53314374753456,-2.11900253354919,6.34358832091397,"SAFB100_02","SAFB100_02_004","SAFB100"
"18","SAFB100_02_004.02",78.9543264916351,5.80253181701817,-3.11664229620136,3.85063303701893,-13.6343104738931,9.6951884773314,-5.00062334176294,8.95693033197983,-6.18855040683662,9.74916925244634,-3.60600505981727,7.30329557922699,2.89424932200133,7.38957148744544,4.45923041045,7.89634449876435,4.3946142435122,7.78175194463448,4.40046656799377,8.13977121581165,1.75416107188154,7.89139288861421,-2.18331311428962,6.31991507552798,"SAFB100_02","SAFB100_02_004","SAFB100"
"19","SAFB100_02_004.03",78.1959600371673,5.56689284663355,-3.19550519309613,3.47042605407774,-14.7381406759056,8.45365016543151,-5.30208622974826,8.52880322416493,-4.37594242382535,9.3566035248471,-3.83756652461065,6.53518143851021,2.85295616639273,6.07652940507378,4.14902692377367,7.66253973814248,5.25688743891289,7.37432831820169,3.46020413998876,6.8071041694489,-0.244682429844211,6.64656582639669,-1.56822754414414,6.2729513608174,"SAFB100_02","SAFB100_02_004","SAFB100"
"20","SAFB100_02_004.04",78.6061657773598,6.04950767456385,-2.96946483558785,3.76672043475122,-14.5074801709005,8.78936270627369,-5.14283031494321,8.936888296179,-5.9740046519955,9.22805091131261,-3.82090436857564,7.02811504756184,2.61587306996753,6.7397514472019,2.819549452005,8.13142395518653,5.64821872442407,7.91937840520833,4.63550359958569,7.23722298780171,1.00431110724293,7.22140860445038,-1.60109000347265,6.06142337182527,"SAFB100_02","SAFB100_02_004","SAFB100"
